Name,Category,State
Name,Category,State
Major Mitchell’s Cockatoo,Parrots,NSW
Red-tailed Black-Cockatoo,Parrots,NSW
Little Lorikeet,Parrots,NSW
Sulphur-crested Cockatoo,Parrots,NSW
Eastern Rosella,Parrots,NSW
Cockatiel,Parrots,NSW
Red-winged Parrot,Parrots,NSW
Crimson Rosella,Parrots,NSW
Galah,Parrots,NSW
Regent Parrot,Parrots,NSW
Budgerigar,Parrots,NSW
Glossy Black-Cockatoo,Parrots,NSW
Eastern Ground Parrot,Parrots,NSW
Rainbow Lorikeet,Parrots,NSW
Long-billed Corella,Parrots,NSW
Musk Lorikeet,Parrots,NSW
Red-rumped Parrot,Parrots,NSW
Gang-gang Cockatoo,Parrots,NSW
Little Corella,Parrots,NSW
Superb Parrot,Parrots,NSW
Pale-headed Rosella,Parrots,NSW
Scaly-breasted Lorikeet,Parrots,NSW
Yellow-tailed Black-Cockatoo,Parrots,NSW
Swift Parrot,Parrots,NSW
Turquoise Parrot,Parrots,NSW
Australian King-Parrot,Parrots,NSW
Bourke’s Parrot,Parrots,NSW
Australian Ringneck,Parrots,NSW
Blue-winged Parrot,Parrots,NSW
Major Mitchell’s Cockatoo,Parrots,VIC
Red-tailed Black-Cockatoo,Parrots,VIC
Little Lorikeet,Parrots,VIC
Sulphur-crested Cockatoo,Parrots,VIC
Eastern Rosella,Parrots,VIC
Cockatiel,Parrots,VIC
Scarlet-chested Parrot,Parrots,VIC
Crimson Rosella,Parrots,VIC
Galah,Parrots,VIC
Regent Parrot,Parrots,VIC
Budgerigar,Parrots,VIC
Glossy Black-Cockatoo,Parrots,VIC
Eastern Ground Parrot,Parrots,VIC
Rainbow Lorikeet,Parrots,VIC
Long-billed Corella,Parrots,VIC
Musk Lorikeet,Parrots,VIC
Red-rumped Parrot,Parrots,VIC
Gang-gang Cockatoo,Parrots,VIC
Little Corella,Parrots,VIC
Superb Parrot,Parrots,VIC
Scaly-breasted Lorikeet,Parrots,VIC
Yellow-tailed Black-Cockatoo,Parrots,VIC
Swift Parrot,Parrots,VIC
Orange-bellied Parrot,Parrots,VIC
Turquoise Parrot,Parrots,VIC
Australian King-Parrot,Parrots,VIC
Australian Ringneck,Parrots,VIC
Blue-winged Parrot,Parrots,VIC
Night Parrot,Parrots,NT
Major Mitchell’s Cockatoo,Parrots,NT
Red-tailed Black-Cockatoo,Parrots,NT
Sulphur-crested Cockatoo,Parrots,NT
Cockatiel,Parrots,NT
Red-winged Parrot,Parrots,NT
Galah,Parrots,NT
Budgerigar,Parrots,NT
Rainbow Lorikeet,Parrots,NT
Little Corella,Parrots,NT
Bourke’s Parrot,Parrots,NT
Australian Ringneck,Parrots,NT
Night Parrot,Parrots,QLD
Major Mitchell’s Cockatoo,Parrots,QLD
Red-tailed Black-Cockatoo,Parrots,QLD
Little Lorikeet,Parrots,QLD
Sulphur-crested Cockatoo,Parrots,QLD
Eastern Rosella,Parrots,QLD
Cockatiel,Parrots,QLD
Eclectus Parrot,Parrots,QLD
Red-winged Parrot,Parrots,QLD
Crimson Rosella,Parrots,QLD
Galah,Parrots,QLD
Budgerigar,Parrots,QLD
Glossy Black-Cockatoo,Parrots,QLD
Eastern Ground Parrot,Parrots,QLD
Rainbow Lorikeet,Parrots,QLD
Long-billed Corella,Parrots,QLD
Musk Lorikeet,Parrots,QLD
Red-rumped Parrot,Parrots,QLD
Little Corella,Parrots,QLD
Superb Parrot,Parrots,QLD
Pale-headed Rosella,Parrots,QLD
Scaly-breasted Lorikeet,Parrots,QLD
Yellow-tailed Black-Cockatoo,Parrots,QLD
Swift Parrot,Parrots,QLD
Turquoise Parrot,Parrots,QLD
Australian King-Parrot,Parrots,QLD
Bourke’s Parrot,Parrots,QLD
Australian Ringneck,Parrots,QLD
Blue-winged Parrot,Parrots,QLD
Major Mitchell’s Cockatoo,Parrots,ACT
Little Lorikeet,Parrots,ACT
Sulphur-crested Cockatoo,Parrots,ACT
Eastern Rosella,Parrots,ACT
Cockatiel,Parrots,ACT
Crimson Rosella,Parrots,ACT
Galah,Parrots,ACT
Budgerigar,Parrots,ACT
Glossy Black-Cockatoo,Parrots,ACT
Rainbow Lorikeet,Parrots,ACT
Long-billed Corella,Parrots,ACT
Musk Lorikeet,Parrots,ACT
Red-rumped Parrot,Parrots,ACT
Gang-gang Cockatoo,Parrots,ACT
Little Corella,Parrots,ACT
Superb Parrot,Parrots,ACT
Yellow-tailed Black-Cockatoo,Parrots,ACT
Swift Parrot,Parrots,ACT
Turquoise Parrot,Parrots,ACT
Australian Ringneck,Parrots,ACT
Night Parrot,Parrots,SA
Major Mitchell’s Cockatoo,Parrots,SA
Red-tailed Black-Cockatoo,Parrots,SA
Little Lorikeet,Parrots,SA
Sulphur-crested Cockatoo,Parrots,SA
Eastern Rosella,Parrots,SA
Cockatiel,Parrots,SA
Scarlet-chested Parrot,Parrots,SA
Red-winged Parrot,Parrots,SA
Crimson Rosella,Parrots,SA
Galah,Parrots,SA
Regent Parrot,Parrots,SA
Budgerigar,Parrots,SA
Glossy Black-Cockatoo,Parrots,SA
Rainbow Lorikeet,Parrots,SA
Long-billed Corella,Parrots,SA
Musk Lorikeet,Parrots,SA
Rock Parrot,Parrots,SA
Red-rumped Parrot,Parrots,SA
Little Corella,Parrots,SA
Yellow-tailed Black-Cockatoo,Parrots,SA
Orange-bellied Parrot,Parrots,SA
Bourke’s Parrot,Parrots,SA
Australian Ringneck,Parrots,SA
Blue-winged Parrot,Parrots,SA
Green Rosella,Parrots,TAS
Sulphur-crested Cockatoo,Parrots,TAS
Eastern Rosella,Parrots,TAS
Galah,Parrots,TAS
Eastern Ground Parrot,Parrots,TAS
Rainbow Lorikeet,Parrots,TAS
Long-billed Corella,Parrots,TAS
Musk Lorikeet,Parrots,TAS
Little Corella,Parrots,TAS
Yellow-tailed Black-Cockatoo,Parrots,TAS
Swift Parrot,Parrots,TAS
Orange-bellied Parrot,Parrots,TAS
Blue-winged Parrot,Parrots,TAS
Night Parrot,Parrots,WA
Major Mitchell’s Cockatoo,Parrots,WA
Western Ground Parrot,Parrots,WA
Carnaby’s Black-Cockatoo,Parrots,WA
Red-tailed Black-Cockatoo,Parrots,WA
Sulphur-crested Cockatoo,Parrots,WA
Cockatiel,Parrots,WA
Scarlet-chested Parrot,Parrots,WA
Red-winged Parrot,Parrots,WA
Galah,Parrots,WA
Regent Parrot,Parrots,WA
Budgerigar,Parrots,WA
Western Rosella,Parrots,WA
Rainbow Lorikeet,Parrots,WA
Long-billed Corella,Parrots,WA
Rock Parrot,Parrots,WA
Little Corella,Parrots,WA
Bourke’s Parrot,Parrots,WA
Australian Ringneck,Parrots,WA
